ablation,base_run,answer_rate_base,answer_rate_ablation,answer_rate_delta,abstention_accuracy_base,abstention_accuracy_ablation,abstention_accuracy_delta,evidence_recall_at_5_base,evidence_recall_at_5_ablation,evidence_recall_at_5_delta,evidence_precision_at_5_base,evidence_precision_at_5_ablation,evidence_precision_at_5_delta,citation_precision_base,citation_precision_ablation,citation_precision_delta,citation_recall_base,citation_recall_ablation,citation_recall_delta,ungrounded_rate_base,ungrounded_rate_ablation,ungrounded_rate_delta,support_rate_mean_base,support_rate_mean_ablation,support_rate_mean_delta,contradiction_recall_base,contradiction_recall_ablation,contradiction_recall_delta,contradiction_precision_base,contradiction_precision_ablation,contradiction_precision_delta
b1_generative_final,b3_generative_bm25_fallback_final,0.2500,1.0000,+0.7500,0.9412,0.0000,-0.9412,0.7391,0.0000,-0.7391,0.2913,0.0000,-0.2913,1.0000,0.0000,-1.0000,0.5556,0.0000,-0.5556,0.0000,N/A,N/A,1.0000,N/A,N/A,0.2000,0.0000,-0.2000,0.3333,N/A,N/A
b2_generative_bm25_fallback_final,b3_generative_bm25_fallback_final,0.2500,0.8333,+0.5833,0.9412,0.7647,-0.1765,0.7391,0.7391,+0.0000,0.2913,0.2913,+0.0000,1.0000,1.0000,+0.0000,0.5556,0.4333,-0.1223,0.0000,N/A,N/A,1.0000,N/A,N/A,0.2000,0.0000,-0.2000,0.3333,N/A,N/A
b2_test_extractive_bm25_20260322_173800,b3_generative_bm25_fallback_final,0.2500,1.0000,+0.7500,0.9412,0.0000,-0.9412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.3200,-0.2356,0.0000,N/A,N/A,1.0000,N/A,N/A,0.2000,0.0000,-0.2000,0.3333,N/A,N/A
b2_test_extractive_bm25_20260322_182520,b3_generative_bm25_fallback_final,0.2500,1.0000,+0.7500,0.9412,0.0000,-0.9412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.3200,-0.2356,0.0000,N/A,N/A,1.0000,N/A,N/A,0.2000,0.0000,-0.2000,0.3333,N/A,N/A
b2_test_extractive_bm25_20260322_182532,b3_generative_bm25_fallback_final,0.2500,1.0000,+0.7500,0.9412,0.0000,-0.9412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.3200,-0.2356,0.0000,N/A,N/A,1.0000,N/A,N/A,0.2000,0.0000,-0.2000,0.3333,N/A,N/A
b2_test_extractive_bm25_20260322_182544,b3_generative_bm25_fallback_final,0.2500,1.0000,+0.7500,0.9412,0.0000,-0.9412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.3200,-0.2356,0.0000,N/A,N/A,1.0000,N/A,N/A,0.2000,0.0000,-0.2000,0.3333,N/A,N/A
b2_test_extractive_bm25_20260322_184549,b3_generative_bm25_fallback_final,0.2500,1.0000,+0.7500,0.9412,0.0000,-0.9412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.3200,-0.2356,0.0000,N/A,N/A,1.0000,N/A,N/A,0.2000,0.0000,-0.2000,0.3333,N/A,N/A
b2_test_extractive_bm25_20260322_233439,b3_generative_bm25_fallback_final,0.2500,1.0000,+0.7500,0.9412,0.0000,-0.9412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.3200,-0.2356,0.0000,N/A,N/A,1.0000,N/A,N/A,0.2000,0.0000,-0.2000,0.3333,N/A,N/A
b3_generative_bm25_fallback_final,b3_generative_bm25_fallback_final,0.2500,0.2500,+0.0000,0.9412,0.9412,+0.0000,0.7391,0.7391,+0.0000,0.2913,0.2913,+0.0000,1.0000,1.0000,+0.0000,0.5556,0.5556,+0.0000,0.0000,0.0000,+0.0000,1.0000,1.0000,+0.0000,0.2000,0.2000,+0.0000,0.3333,0.3333,+0.0000
b3_test_extractive_bm25_20260322_173801,b3_generative_bm25_fallback_final,0.2500,0.8800,+0.6300,0.9412,0.5000,-0.4412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.4545,-0.1011,0.0000,0.0000,+0.0000,1.0000,1.0000,+0.0000,0.2000,0.5714,+0.3714,0.3333,0.2857,-0.0476
b3_test_extractive_bm25_20260322_182521,b3_generative_bm25_fallback_final,0.2500,0.8800,+0.6300,0.9412,0.5000,-0.4412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.4545,-0.1011,0.0000,0.0000,+0.0000,1.0000,1.0000,+0.0000,0.2000,0.5714,+0.3714,0.3333,0.2857,-0.0476
b3_test_extractive_bm25_20260322_182533,b3_generative_bm25_fallback_final,0.2500,0.8800,+0.6300,0.9412,0.5000,-0.4412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.4545,-0.1011,0.0000,0.0000,+0.0000,1.0000,1.0000,+0.0000,0.2000,0.5714,+0.3714,0.3333,0.2857,-0.0476
b3_test_extractive_bm25_20260322_182545,b3_generative_bm25_fallback_final,0.2500,0.8800,+0.6300,0.9412,0.5000,-0.4412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.4545,-0.1011,0.0000,0.0000,+0.0000,1.0000,1.0000,+0.0000,0.2000,0.5714,+0.3714,0.3333,0.2857,-0.0476
b3_test_extractive_bm25_20260322_184549,b3_generative_bm25_fallback_final,0.2500,0.8800,+0.6300,0.9412,0.5000,-0.4412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.4545,-0.1011,0.0000,0.0000,+0.0000,1.0000,1.0000,+0.0000,0.2000,0.5714,+0.3714,0.3333,0.2857,-0.0476
b3_test_extractive_bm25_20260322_233440,b3_generative_bm25_fallback_final,0.2500,0.8800,+0.6300,0.9412,0.5000,-0.4412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.4545,-0.1011,0.0000,0.0000,+0.0000,1.0000,1.0000,+0.0000,0.2000,0.5714,+0.3714,0.3333,0.2857,-0.0476
test_allow_no_key_generates_llm_disabled,b3_generative_bm25_fallback_final,0.2500,0.0000,-0.2500,0.9412,0.0000,-0.9412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,N/A,N/A,0.5556,N/A,N/A,0.0000,N/A,N/A,1.0000,N/A,N/A,0.2000,0.0000,-0.2000,0.3333,N/A,N/A
test_b2_extractive_bm25_integration,b3_generative_bm25_fallback_final,0.2500,1.0000,+0.7500,0.9412,0.0000,-0.9412,0.7391,0.7344,-0.0047,0.2913,0.2875,-0.0038,1.0000,1.0000,+0.0000,0.5556,0.3200,-0.2356,0.0000,N/A,N/A,1.0000,N/A,N/A,0.2000,0.0000,-0.2000,0.3333,N/A,N/A
