tau,answer_rate,abstention_accuracy,ungrounded_rate_response,contradiction_abstain_rate,coverage_all,n_total,n_answered,n_abstained,n_answerable,n_unanswerable,n_contradiction,n_surfaced_total,n_surfaced_ungrounded,support_rate_mean_surfaced
0.0,0.8611,0.6471,0.7447,0.0,0.746,63,47,16,36,17,10,47,35,0.6227
0.01,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.02,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.03,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.04,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.05,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.06,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.07,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.08,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.09,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.1,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.11,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.12,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.13,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.14,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.15,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.16,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.17,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.18,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.19,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.2,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.21,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.22,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.23,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.24,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.25,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.26,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.27,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.28,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.29,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.3,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.31,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.32,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.33,0.8611,0.7647,0.7333,0.0,0.7143,63,45,18,36,17,10,45,33,0.6504
0.34,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.35,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.36,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.37,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.38,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.39,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.4,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.41,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.42,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.43,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.44,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.45,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
0.46,0.7778,0.7647,0.6923,0.3,0.619,63,39,24,36,17,10,39,27,0.6992
