scope,support_threshold,coverage,answer_rate,abstention_accuracy,contradiction_abstain_rate,refusal_f1,n_total,n_answered,n_abstained
all,0.0,0.746,0.8611,0.6471,0.0,0.5116,63,47,16
test,0.0,0.75,0.88,0.6667,0.0,0.5333,44,33,11
dev,0.0,0.7368,0.8182,0.6,0.0,0.4615,19,14,5
all,0.05,0.7143,0.8611,0.7647,0.0,0.5778,63,45,18
test,0.05,0.7273,0.88,0.75,0.0,0.5806,44,32,12
dev,0.05,0.6842,0.8182,0.8,0.0,0.5714,19,13,6
all,0.1,0.7143,0.8611,0.7647,0.0,0.5778,63,45,18
test,0.1,0.7273,0.88,0.75,0.0,0.5806,44,32,12
dev,0.1,0.6842,0.8182,0.8,0.0,0.5714,19,13,6
all,0.15,0.7143,0.8611,0.7647,0.0,0.5778,63,45,18
test,0.15,0.7273,0.88,0.75,0.0,0.5806,44,32,12
dev,0.15,0.6842,0.8182,0.8,0.0,0.5714,19,13,6
all,0.2,0.7143,0.8611,0.7647,0.0,0.5778,63,45,18
test,0.2,0.7273,0.88,0.75,0.0,0.5806,44,32,12
dev,0.2,0.6842,0.8182,0.8,0.0,0.5714,19,13,6
all,0.25,0.7143,0.8611,0.7647,0.0,0.5778,63,45,18
test,0.25,0.7273,0.88,0.75,0.0,0.5806,44,32,12
dev,0.25,0.6842,0.8182,0.8,0.0,0.5714,19,13,6
all,0.3,0.7143,0.8611,0.7647,0.0,0.5778,63,45,18
test,0.3,0.7273,0.88,0.75,0.0,0.5806,44,32,12
dev,0.3,0.6842,0.8182,0.8,0.0,0.5714,19,13,6
all,0.35,0.619,0.7778,0.7647,0.3,0.6275,63,39,24
test,0.35,0.6818,0.84,0.75,0.1429,0.6061,44,30,14
dev,0.35,0.4737,0.6364,0.8,0.6667,0.6667,19,9,10
all,0.4,0.619,0.7778,0.7647,0.3,0.6275,63,39,24
test,0.4,0.6818,0.84,0.75,0.1429,0.6061,44,30,14
dev,0.4,0.4737,0.6364,0.8,0.6667,0.6667,19,9,10
all,0.45,0.619,0.7778,0.7647,0.3,0.6275,63,39,24
test,0.45,0.6818,0.84,0.75,0.1429,0.6061,44,30,14
dev,0.45,0.4737,0.6364,0.8,0.6667,0.6667,19,9,10
all,0.5,0.619,0.7778,0.7647,0.3,0.6275,63,39,24
test,0.5,0.6818,0.84,0.75,0.1429,0.6061,44,30,14
dev,0.5,0.4737,0.6364,0.8,0.6667,0.6667,19,9,10
all,0.55,0.3651,0.4444,0.7647,0.7,0.597,63,23,40
test,0.55,0.4318,0.52,0.75,0.5714,0.5909,44,19,25
dev,0.55,0.2105,0.2727,0.8,1.0,0.6087,19,4,15
all,0.6,0.3651,0.4444,0.7647,0.7,0.597,63,23,40
test,0.6,0.4318,0.52,0.75,0.5714,0.5909,44,19,25
dev,0.6,0.2105,0.2727,0.8,1.0,0.6087,19,4,15
all,0.65,0.3492,0.4444,0.8235,0.7,0.6176,63,22,41
test,0.65,0.4318,0.52,0.75,0.5714,0.5909,44,19,25
dev,0.65,0.1579,0.2727,1.0,1.0,0.6667,19,3,16
all,0.7,0.1905,0.25,0.9412,0.8,0.6154,63,12,51
test,0.7,0.2273,0.28,0.9167,0.7143,0.6038,44,10,34
dev,0.7,0.1053,0.1818,1.0,1.0,0.64,19,2,17
all,0.75,0.1905,0.25,0.9412,0.8,0.6154,63,12,51
test,0.75,0.2273,0.28,0.9167,0.7143,0.6038,44,10,34
dev,0.75,0.1053,0.1818,1.0,1.0,0.64,19,2,17
all,0.8,0.1905,0.25,0.9412,0.8,0.6154,63,12,51
test,0.8,0.2273,0.28,0.9167,0.7143,0.6038,44,10,34
dev,0.8,0.1053,0.1818,1.0,1.0,0.64,19,2,17
all,0.85,0.1905,0.25,0.9412,0.8,0.6154,63,12,51
test,0.85,0.2273,0.28,0.9167,0.7143,0.6038,44,10,34
dev,0.85,0.1053,0.1818,1.0,1.0,0.64,19,2,17
all,0.9,0.1905,0.25,0.9412,0.8,0.6154,63,12,51
test,0.9,0.2273,0.28,0.9167,0.7143,0.6038,44,10,34
dev,0.9,0.1053,0.1818,1.0,1.0,0.64,19,2,17
all,0.95,0.1905,0.25,0.9412,0.8,0.6154,63,12,51
test,0.95,0.2273,0.28,0.9167,0.7143,0.6038,44,10,34
dev,0.95,0.1053,0.1818,1.0,1.0,0.64,19,2,17
all,1.0,0.1905,0.25,0.9412,0.8,0.6154,63,12,51
test,1.0,0.2273,0.28,0.9167,0.7143,0.6038,44,10,34
dev,1.0,0.1053,0.1818,1.0,1.0,0.64,19,2,17
